Subject,Object
http://purl.obolibrary.org/obo/BTO_0001742,http://purl.obolibrary.org/obo/BTO_0000642|http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_01300386,http://www.drugtargetontology.org/dto/DTO_01300333
http://purl.obolibrary.org/obo/BTO_0004094,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0001023
http://www.drugtargetontology.org/dto/DTO_02100113,http://www.drugtargetontology.org/dto/DTO_02300045
http://www.drugtargetontology.org/dto/DTO_02100279,http://www.drugtargetontology.org/dto/DTO_02300069
http://www.drugtargetontology.org/dto/DTO_03200451,http://www.drugtargetontology.org/dto/DTO_03400124
http://www.drugtargetontology.org/dto/DTO_01200213,http://www.drugtargetontology.org/dto/DTO_01400359
http://purl.obolibrary.org/obo/BTO_0002694,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/DOID_14115,http://purl.obolibrary.org/obo/DOID_0050339
http://purl.obolibrary.org/obo/BTO_0000256,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/DOID_11724,http://purl.obolibrary.org/obo/DOID_9884
http://purl.obolibrary.org/obo/DOID_11722,http://purl.obolibrary.org/obo/DOID_450
http://purl.obolibrary.org/obo/DOID_11723,http://purl.obolibrary.org/obo/DOID_9884
http://purl.obolibrary.org/obo/DOID_11729,http://purl.obolibrary.org/obo/DOID_37|http://purl.obolibrary.org/obo/DOID_0050338
http://purl.obolibrary.org/obo/DOID_11726,http://purl.obolibrary.org/obo/DOID_9884
http://purl.obolibrary.org/obo/DOID_11721,http://purl.obolibrary.org/obo/DOID_2747
http://www.drugtargetontology.org/dto/DTO_02402004,http://www.drugtargetontology.org/dto/DTO_02400017
http://www.drugtargetontology.org/dto/DTO_09000049,http://purl.obolibrary.org/obo/CHEBI_16670
http://www.drugtargetontology.org/dto/DTO_03300248,http://www.drugtargetontology.org/dto/DTO_03300120
http://www.drugtargetontology.org/dto/DTO_03100428,http://www.drugtargetontology.org/dto/DTO_03300210
http://purl.obolibrary.org/obo/BTO_0005085,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_02200044,http://www.drugtargetontology.org/dto/DTO_02400026
http://www.drugtargetontology.org/dto/DTO_02200560,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_62100029,http://www.drugtargetontology.org/dto/DTO_62100000
http://www.drugtargetontology.org/dto/DTO_01100253,http://www.drugtargetontology.org/dto/DTO_01300362
http://www.drugtargetontology.org/dto/DTO_02200630,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_02100544,http://www.drugtargetontology.org/dto/DTO_02300013
http://www.drugtargetontology.org/dto/DTO_02200011,http://www.drugtargetontology.org/dto/DTO_02402005
http://www.drugtargetontology.org/dto/DTO_03100612,http://www.drugtargetontology.org/dto/DTO_03391041
http://purl.obolibrary.org/obo/BTO_0003053,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000787
http://purl.obolibrary.org/obo/BTO_0001555,http://purl.obolibrary.org/obo/BTO_0001996|http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_01300361,http://www.drugtargetontology.org/dto/DTO_01300327
http://www.drugtargetontology.org/dto/DTO_01100203,http://www.drugtargetontology.org/dto/DTO_01300551
http://purl.obolibrary.org/obo/BTO_0000202,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_03200059,http://www.drugtargetontology.org/dto/DTO_03400255
http://www.drugtargetontology.org/dto/DTO_03100252,http://www.drugtargetontology.org/dto/DTO_03300280
http://www.drugtargetontology.org/dto/DTO_02200567,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_03300192,http://www.drugtargetontology.org/dto/DTO_03300107
http://www.drugtargetontology.org/dto/DTO_03400292,http://www.drugtargetontology.org/dto/DTO_03400191
http://www.drugtargetontology.org/dto/DTO_01400499,http://www.drugtargetontology.org/dto/DTO_01400375
http://www.drugtargetontology.org/dto/DTO_62100035,http://www.drugtargetontology.org/dto/DTO_62100000
http://purl.obolibrary.org/obo/DOID_0060340,http://purl.obolibrary.org/obo/DOID_630
http://purl.obolibrary.org/obo/DOID_0060345,http://purl.obolibrary.org/obo/DOID_11102
http://purl.obolibrary.org/obo/DOID_0060344,http://purl.obolibrary.org/obo/DOID_2722
http://www.drugtargetontology.org/dto/DTO_62000359,http://purl.obolibrary.org/obo/CHEBI_30013
http://www.drugtargetontology.org/dto/DTO_02100750,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_03400240,http://www.drugtargetontology.org/dto/DTO_03400104
http://www.drugtargetontology.org/dto/DTO_02200569,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_62100022,http://www.drugtargetontology.org/dto/DTO_62100000
http://purl.obolibrary.org/obo/DOID_5603,http://purl.obolibrary.org/obo/DOID_715
http://www.drugtargetontology.org/dto/DTO_02100792,http://www.drugtargetontology.org/dto/DTO_02300014
http://purl.obolibrary.org/obo/BTO_0003483,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_03200068,http://www.drugtargetontology.org/dto/DTO_03400258
http://purl.obolibrary.org/obo/DOID_4195,http://purl.obolibrary.org/obo/DOID_4194
http://purl.obolibrary.org/obo/BTO_0000934,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000932
http://purl.obolibrary.org/obo/DOID_0050471,http://purl.obolibrary.org/obo/DOID_0050736
http://purl.obolibrary.org/obo/DOID_0050472,http://purl.obolibrary.org/obo/DOID_0050736
http://purl.obolibrary.org/obo/DOID_0050470,http://purl.obolibrary.org/obo/DOID_0050737
http://purl.obolibrary.org/obo/DOID_0050477,http://purl.obolibrary.org/obo/DOID_447
http://www.drugtargetontology.org/dto/DTO_01100037,http://www.drugtargetontology.org/dto/DTO_01300332
http://www.drugtargetontology.org/dto/DTO_03100040,http://www.drugtargetontology.org/dto/DTO_03300131
http://www.drugtargetontology.org/dto/DTO_01400395,http://www.drugtargetontology.org/dto/DTO_01400341
http://purl.obolibrary.org/obo/BTO_0000830,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000421
http://www.drugtargetontology.org/dto/DTO_02200460,http://www.drugtargetontology.org/dto/DTO_02400013
http://purl.obolibrary.org/obo/DOID_7166,http://purl.obolibrary.org/obo/DOID_50
http://www.drugtargetontology.org/dto/DTO_03300135,http://www.drugtargetontology.org/dto/DTO_03300105
http://purl.obolibrary.org/obo/BTO_0001859,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/BTO_0000273,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0001157
http://www.drugtargetontology.org/dto/DTO_62000254,http://purl.obolibrary.org/obo/CHEBI_29997
http://www.drugtargetontology.org/dto/DTO_02300040,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_61000275,http://www.drugtargetontology.org/dto/DTO_61000000
http://www.drugtargetontology.org/dto/DTO_02100457,http://www.drugtargetontology.org/dto/DTO_02300013
http://purl.obolibrary.org/obo/BTO_0004669,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_61000173,http://www.drugtargetontology.org/dto/DTO_61000000
http://www.drugtargetontology.org/dto/DTO_02100553,http://www.drugtargetontology.org/dto/DTO_02300013
http://purl.obolibrary.org/obo/DOID_13025,http://purl.obolibrary.org/obo/DOID_5679
http://purl.obolibrary.org/obo/BTO_0002575,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000811
http://www.drugtargetontology.org/dto/DTO_02100579,http://www.drugtargetontology.org/dto/DTO_02300013
http://purl.obolibrary.org/obo/BTO_0004059,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000188
http://www.drugtargetontology.org/dto/DTO_00000002,http://purl.obolibrary.org/obo/BFO_0000023
http://www.drugtargetontology.org/dto/DTO_01100212,http://www.drugtargetontology.org/dto/DTO_01300560
http://www.drugtargetontology.org/dto/DTO_02100183,http://www.drugtargetontology.org/dto/DTO_02300053
http://www.drugtargetontology.org/dto/DTO_03200152,http://www.drugtargetontology.org/dto/DTO_03400158
http://www.drugtargetontology.org/dto/DTO_02400006,http://www.drugtargetontology.org/dto/DTO_02400001
http://www.drugtargetontology.org/dto/DTO_02100811,http://www.drugtargetontology.org/dto/DTO_02300015
http://www.drugtargetontology.org/dto/DTO_02200210,http://www.drugtargetontology.org/dto/DTO_02400023
http://purl.obolibrary.org/obo/BTO_0000803,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/BTO_0000156,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0001487
http://purl.obolibrary.org/obo/CHEBI_17544,http://purl.obolibrary.org/obo/CHEBI_22563
http://www.drugtargetontology.org/dto/DTO_03300131,http://www.drugtargetontology.org/dto/DTO_03300108
http://purl.obolibrary.org/obo/DOID_2064,http://purl.obolibrary.org/obo/DOID_0060109
http://www.drugtargetontology.org/dto/DTO_02100490,http://www.drugtargetontology.org/dto/DTO_02300013
http://www.drugtargetontology.org/dto/DTO_03390001,http://www.drugtargetontology.org/dto/DTO_03300101
http://purl.obolibrary.org/obo/BTO_0002587,http://www.drugtargetontology.org/dto/DTO_00000018
http://purl.obolibrary.org/obo/BTO_0004607,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_03100132,http://www.drugtargetontology.org/dto/DTO_03300153
http://purl.obolibrary.org/obo/DOID_3012,http://purl.obolibrary.org/obo/DOID_0050736
http://www.drugtargetontology.org/dto/DTO_03200616,http://www.drugtargetontology.org/dto/DTO_03491041
http://www.drugtargetontology.org/dto/DTO_03200113,http://www.drugtargetontology.org/dto/DTO_03400266
http://www.drugtargetontology.org/dto/DTO_02100773,http://www.drugtargetontology.org/dto/DTO_02300002
http://www.drugtargetontology.org/dto/DTO_03100093,http://www.drugtargetontology.org/dto/DTO_03300142
http://www.drugtargetontology.org/dto/DTO_03200493,http://www.drugtargetontology.org/dto/DTO_03400227
http://purl.obolibrary.org/obo/BTO_0000331,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000453
http://www.drugtargetontology.org/dto/DTO_02200497,http://www.drugtargetontology.org/dto/DTO_02400013
http://www.drugtargetontology.org/dto/DTO_03100354,http://www.drugtargetontology.org/dto/DTO_03300197
http://www.drugtargetontology.org/dto/DTO_01200114,http://www.drugtargetontology.org/dto/DTO_01400513
http://www.drugtargetontology.org/dto/DTO_03200029,http://www.drugtargetontology.org/dto/DTO_03400125
http://purl.obolibrary.org/obo/DOID_0050452,http://purl.obolibrary.org/obo/DOID_906
http://purl.obolibrary.org/obo/DOID_0050459,http://purl.obolibrary.org/obo/DOID_2485
http://purl.obolibrary.org/obo/DOID_0050450,http://purl.obolibrary.org/obo/DOID_447
http://purl.obolibrary.org/obo/DOID_0050453,http://purl.obolibrary.org/obo/DOID_2490
http://purl.obolibrary.org/obo/DOID_0050454,http://purl.obolibrary.org/obo/DOID_2490
http://purl.obolibrary.org/obo/DOID_0050451,http://purl.obolibrary.org/obo/DOID_10273
http://www.drugtargetontology.org/dto/DTO_02100229,http://www.drugtargetontology.org/dto/DTO_02300060
http://www.drugtargetontology.org/dto/DTO_01100207,http://www.drugtargetontology.org/dto/DTO_01300555
http://www.drugtargetontology.org/dto/DTO_01100118,http://www.drugtargetontology.org/dto/DTO_01300517
http://purl.obolibrary.org/obo/BTO_0000642,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000886
http://www.drugtargetontology.org/dto/DTO_03200052,http://www.drugtargetontology.org/dto/DTO_03400134
http://www.drugtargetontology.org/dto/DTO_02200732,http://www.drugtargetontology.org/dto/DTO_02400100
http://www.drugtargetontology.org/dto/DTO_03400199,http://www.drugtargetontology.org/dto/DTO_03400104
http://www.drugtargetontology.org/dto/DTO_03400270,http://www.drugtargetontology.org/dto/DTO_03400123
http://www.drugtargetontology.org/dto/DTO_03100096,http://www.drugtargetontology.org/dto/DTO_03300144
http://purl.obolibrary.org/obo/BTO_0003640,http://www.drugtargetontology.org/dto/DTO_00000018
http://www.drugtargetontology.org/dto/DTO_03100108,http://www.drugtargetontology.org/dto/DTO_03391025
http://www.drugtargetontology.org/dto/DTO_09000044,http://purl.obolibrary.org/obo/CHEBI_16670
http://purl.obolibrary.org/obo/BTO_0000933,http://www.drugtargetontology.org/dto/DTO_00000018|http://purl.obolibrary.org/obo/BTO_0000932
http://www.drugtargetontology.org/dto/DTO_02200263,http://www.drugtargetontology.org/dto/DTO_02400063
